Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (development),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Project Setup & Jira Management,CPB-1,10292,Epic,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,13/Sep/25 10:36 AM,15/Sep/25 10:08 AM,,15/Sep/25 10:08 AM,15/Sep/25 12:00 AM,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@47eb5ef8,,,,,ghx-label-1,,To Do,,,,dark_grey,,,,,0|i000kr:,,,CPB Sprint 1,13/Sep/25 12:00 AM,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_146073054,,,,,Done,15/Sep/25 10:08 AM
GitHub Workflow,CPB-2,10293,Epic,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,13/Sep/25 10:37 AM,15/Sep/25 3:28 AM,,15/Sep/25 3:28 AM,15/Sep/25 12:00 AM,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3885c2bd,,,,,ghx-label-9,,To Do,,,,orange,,,,,0|i000kz:,,,CPB Sprint 1,13/Sep/25 12:00 AM,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_2_*:*_11999851_*|*_10067_*:*_1_*:*_134694777,,,,,Done,15/Sep/25 3:28 AM
Jenkins CI/CD,CPB-3,10294,Epic,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,13/Sep/25 10:37 AM,15/Sep/25 4:26 AM,,15/Sep/25 4:26 AM,15/Sep/25 12:00 AM,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5852b397,,,,,ghx-label-1,,To Do,,,,dark_grey,,,,,0|i000l7:,,,CPB Sprint 1,13/Sep/25 12:00 AM,,,,,,,,,,10066_*:*_1_*:*_150525043_*|*_10067_*:*_1_*:*_0,,,,,Done,15/Sep/25 4:26 AM
Docker Deployment,CPB-4,10295,Epic,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,13/Sep/25 10:38 AM,15/Sep/25 9:05 AM,,15/Sep/25 9:05 AM,15/Sep/25 12:00 AM,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4d10182f,,,,,ghx-label-8,,To Do,,,,dark_purple,,,,,0|i000lf:,,,CPB Sprint 1,13/Sep/25 12:00 AM,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_167171337,,,,,Done,15/Sep/25 9:05 AM
Kubernetes (EKS) Deployment,CPB-5,10296,Epic,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,13/Sep/25 10:38 AM,15/Sep/25 9:53 AM,,15/Sep/25 9:53 AM,15/Sep/25 12:00 AM,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@26639b67,,,,,ghx-label-6,,To Do,,,,green,,,,,0|i000ln:,,,CPB Sprint 1,13/Sep/25 12:00 AM,,,,,,,,,,3_*:*_1_*:*_0_*|*_10066_*:*_1_*:*_167706038,,,,,Done,15/Sep/25 9:53 AM
Monitoring & Observability,CPB-6,10297,Epic,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,13/Sep/25 10:39 AM,15/Sep/25 9:56 AM,,15/Sep/25 9:56 AM,15/Sep/25 12:00 AM,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7d694a91,,,,,ghx-label-7,,To Do,,,,purple,,,,,0|i000lv:,,,CPB Sprint 1,13/Sep/25 12:00 AM,,,,,,,,,,10066_*:*_1_*:*_170216090_*|*_10067_*:*_1_*:*_0,,,,,Done,15/Sep/25 9:56 AM
Create Jira Board,CPB-8,10300,Task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,13/Sep/25 10:41 AM,15/Sep/25 10:10 AM,13/Sep/25 10:48 AM,15/Sep/25 10:10 AM,15/Sep/25 12:00 AM,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@40a49ee6,,,,,,,,,,,,,,,,0|i000mb:,,,CPB Sprint 1,13/Sep/25 12:00 AM,,,,,,,,,,10066_*:*_1_*:*_170940937_*|*_10067_*:*_1_*:*_0,,10292.0,CPB-1,Project Setup & Jira Management,Done,15/Sep/25 10:10 AM
Create a new Scrum board for Book-My-Show DevOps Project,CPB-10,10304,Sub-task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,13/Sep/25 10:48 AM,13/Sep/25 10:58 AM,,13/Sep/25 10:58 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5eeeba32,,,,,,,,,,,,,,,,0|i000mr:,,,CPB Sprint 1,,,,,,,,,,,10066_*:*_1_*:*_580632_*|*_10067_*:*_1_*:*_0,,10300.0,CPB-8,Create Jira Board,Done,13/Sep/25 10:58 AM
Define workflow columns (To Do → In Progress → Done),CPB-11,10306,Sub-task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,13/Sep/25 10:48 AM,13/Sep/25 10:58 AM,,13/Sep/25 10:58 AM,,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@fcb14eb,,,,,,,,,,,,,,,,0|i000mz:,,,CPB Sprint 1,,,,,,,,,,,10066_*:*_1_*:*_574036_*|*_10067_*:*_1_*:*_0,,10300.0,CPB-8,Create Jira Board,Done,13/Sep/25 10:58 AM
"Create Epics, Tasks & Subtasks",CPB-9,10302,Task,Done,CPB,Capstone_Project_BMS,software,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,Medium,Done,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,13/Sep/25 10:42 AM,15/Sep/25 10:10 AM,,15/Sep/25 10:10 AM,15/Sep/25 12:00 AM,0,,,Vishal Rawat,712020:181ce381-0ad2-4e87-a92b-bfd1dcd53175,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6bb09688,,,,,,,,,,,,,,,,0|i000mj:,,,CPB Sprint 1,13/Sep/25 12:00 AM,,,,,,,,,,10066_*:*_1_*:*_170891274_*|*_10067_*:*_1_*:*_0,,10292.0,CPB-1,Project Setup & Jira Management,Done,15/Sep/25 10:10 AM
